商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
沃集鲜/Marketside 抹茶蒸蛋糕 2个,6.8,5,https://img30.360buyimg.com/n1//jfs/t1/78473/26/8770/62605/5d67b873E21094931/12dfbbd35ae5b1b9.jpg,自制蛋糕,面包蛋糕
沃集鲜/Marketside 黄油香橙磅蛋糕,12.8,9,https://img30.360buyimg.com/n1//jfs/t1/73673/40/9269/181980/5d6e322aE2563e7bd/081da8d60e322d6c.jpg,自制蛋糕,面包蛋糕
沃集鲜/Marketside 黄油芝香磅蛋糕,12.8,7,https://img30.360buyimg.com/n1//jfs/t1/46143/29/9785/88204/5d70d4f0E579226f2/f99e7357e5ada92b.jpg,自制蛋糕,面包蛋糕
商品名称,价格(单位:元),月销量,图片,二级类目,一级类目
沃集鲜/Marketside 皇冠南瓜面包 1个,6.8,53,https://img30.360buyimg.com/n1//jfs/t1/56795/17/9513/167395/5d6e3227E61e635bb/0eabf4ffc30e1b56.jpg,自制面包,面包蛋糕
沃集鲜/Marketside 皇冠紫薯面包 1个,6.8,44,https://img30.360buyimg.com/n1//jfs/t1/46557/19/9469/188153/5d6e3226Eaa655d85/ae930d954c3a3fd9.jpg,自制面包,面包蛋糕
沃集鲜/Marketside 皇冠蓝莓面包 1个,6.8,45,https://img30.360buyimg.com/n1//jfs/t1/62242/8/9063/254833/5d6e3253Ed58bd465/7bfe8b253741f651.jpg,自制面包,面包蛋糕
沃集鲜/Marketside 手撕面包,7.5,87,https://img30.360buyimg.com/n1//jfs/t1/44391/5/13851/232917/5d6e3219E38057f76/681cac71dc42eaee.jpg,自制面包,面包蛋糕
沃集鲜/Marketside 提子小甜包,6.8,44,https://img30.360buyimg.com/n1//jfs/t10306/330/2876633580/176255/e8a3042c/5cdbe978N428872e1.jpg,自制面包,面包蛋糕
沃集鲜/Marketside 红豆吐司,8,40,https://img30.360buyimg.com/n1//jfs/t11458/175/2930250985/191400/214e1130/5cdbe971Na254f3c7.jpg,自制面包,面包蛋糕
沃集鲜/Marketside 小菠萝包 4个,7.8,44,https://img30.360buyimg.com/n1//jfs/t1/70059/32/9088/198092/5d6e3219E22755eaf/270726a02d05a427.jpg,自制面包,面包蛋糕
沃集鲜/Marketside 法式面包 1个装,3.5,24,https://img30.360buyimg.com/n1//jfs/t11101/251/2911233980/56790/3b9fc8a2/5cdbe953N2720cf34.jpg,自制面包,面包蛋糕
沃集鲜/Marketside 金枕吐司 （个）,13.8,26,https://img30.360buyimg.com/n1//jfs/t1/77726/36/3260/196494/5d19d230E8f8eb5f6/b5c993a5c9e857fd.jpg,自制面包,面包蛋糕
沃集鲜/Marketside 黑糖羊角包 1盒,6.8,13,https://img30.360buyimg.com/n1//jfs/t1/43564/9/13959/127307/5d70bdc3Eb138e25f/3814a70671862ec5.jpg,自制面包,面包蛋糕
沃集鲜/Marketside 甜全麦方包,7.8,15,https://img30.360buyimg.com/n1//jfs/t1/58262/38/10591/86297/5d79e668E65c0a5cb/5744b39b2dc80747.jpg,自制面包,面包蛋糕
